label,ax,ay,az,gx,gy,gz
0,3892,-14280,7756,225,179,-303
0,4440,-13456,8772,60,1939,362
0,3012,-14196,7240,-1556,-1420,114
0,4124,-13932,8264,815,1386,-1072
0,4508,-13316,8456,216,33,593
0,3808,-13872,7536,-640,-900,-711
0,5296,-13848,8480,1742,1708,-1055
0,3976,-13652,8132,-1584,-1320,143
0,4104,-13704,8676,888,1592,-283
0,4952,-13904,7436,-654,-659,-511
0,4236,-13796,9348,530,825,516
0,4936,-13552,7496,-651,461,51
0,3808,-13368,9112,-333,718,954
0,4352,-13896,7428,-426,-300,-413
0,3964,-13808,9176,-288,-301,199
0,3924,-14008,7632,-527,-239,-29
0,3280,-13664,9360,-1356,380,-100
0,4904,-13916,7204,384,1313,230
0,3316,-14496,7800,-1767,-839,-225
0,4092,-13716,7380,1409,321,176
0,3344,-13792,8708,-1532,-1030,-585
0,4680,-14100,7480,1427,1462,-313
0,3948,-13940,7944,-1330,-634,-696
0,3444,-13980,8292,46,210,203
0,3876,-13968,7928,-564,-373,-909
0,4320,-13432,8840,411,1493,-63
0,4660,-14244,6732,-673,-444,-564
0,3604,-13964,8852,125,-18,76
0,4568,-13944,7388,106,-244,-720
0,3964,-13376,9144,-103,256,640
0,4436,-13852,7632,-57,436,-390
0,3944,-13712,8868,-864,376,228
0,4196,-13768,7668,-45,1179,-634
0,3360,-13732,8764,-966,160,-240
0,4380,-14028,7888,613,830,-844
0,4200,-13744,8444,-711,-267,-67
0,4472,-13704,8236,662,814,-412
0,4440,-13892,7768,-1014,-571,-271
0,4508,-13616,8732,636,1044,22
0,4020,-13724,7856,-899,-444,135
0,4228,-13648,8724,866,967,-425
0,4504,-13560,7668,-792,-107,-336
0,4052,-13680,9000,157,633,64
0,4080,-13524,7788,-666,-9,-490
0,5344,-12560,9224,1159,2141,-4951
0,5672,-12452,8436,-3604,1031,-4398
0,5648,-13004,8372,-4050,3363,1755
0,5004,-13560,6752,-6652,668,-1231
0,4828,-15040,6720,-6915,3204,-4218
0,6168,-14628,4648,-3582,1430,-6864
0,7156,-13924,6096,958,-2763,-3332
0,8580,-13620,3512,-2590,1494,-5198
0,8940,-12804,4060,-557,188,-4162
0,9328,-13204,3316,1297,834,-3006
0,9852,-12792,4476,942,70,834
0,10148,-13316,3784,4336,-3904,-412
0,9396,-12740,4096,10369,-7267,159
0,11460,-11296,5284,16667,-12457,-4782
0,14828,-10504,5432,6368,-7206,-3535
0,14312,-6712,7760,6762,1154,-2807
0,12620,-5596,5664,668,246,1193
0,11612,-5476,6892,-859,13946,-224
0,10696,-6044,14004,-3368,7798,1975
0,10828,-7668,10304,-1959,5140,2623
0,11160,-9420,8552,-1044,906,3624
0,9952,-8308,10260,-363,4129,1692
0,10488,-9468,9244,-269,866,448
0,9440,-8824,11148,-665,1375,688
0,9068,-9664,10512,-829,754,327
